1, Infinity, 0
2, Infinity, 0
3, 0.8833333, 1
4, 1.0, 1
5, 0.95, 1
6, 0.9, 1
7, 0.9052631, 2
8, Infinity, 1
9, 1.0, 1
10, 1.0, 1
11, 0.9047619, 3
12, Infinity, 1
single, 7.48503E-4, 1336
